label,dwell_seconds,velocity_magnitude,confidence,is_near_door,time_of_day_hour
normal,1.28,0.76,0.97,0.0,7.0
normal,1.53,1.0,0.9,0.0,15.0
normal,1.03,1.91,0.78,0.0,10.0
normal,2.73,1.23,0.83,0.0,14.0
normal,3.45,1.45,0.9,0.0,17.0
normal,0.08,1.09,0.9,0.0,22.0
normal,0.37,0.77,0.74,0.0,14.0
normal,0.76,1.12,0.95,0.0,10.0
normal,0.24,1.23,0.77,0.0,18.0
normal,4.84,1.09,0.86,0.0,17.0
normal,1.83,1.16,0.99,0.0,18.0
normal,5.62,1.01,0.76,0.0,13.0
normal,6.05,0.96,0.92,0.0,11.0
normal,15.75,1.13,0.76,0.0,22.0
normal,0.72,1.33,0.82,0.0,22.0
normal,5.16,1.6,0.95,0.0,20.0
normal,18.56,1.66,0.94,0.0,18.0
normal,0.56,0.64,0.94,0.0,19.0
normal,20.0,1.39,0.84,0.0,12.0
normal,3.15,0.71,0.92,0.0,10.0
normal,4.82,1.36,0.72,0.0,11.0
normal,3.8,1.63,0.82,0.0,9.0
normal,3.02,1.28,0.72,0.0,16.0
normal,4.75,0.97,0.88,0.0,12.0
normal,20.0,1.46,0.92,0.0,19.0
normal,2.23,0.98,0.7,0.0,15.0
normal,5.21,1.51,0.84,0.0,7.0
normal,0.7,1.34,0.86,0.0,15.0
normal,1.23,1.23,0.96,0.0,21.0
normal,7.18,0.49,0.94,0.0,22.0
normal,2.35,0.62,0.78,0.0,15.0
normal,4.76,1.58,0.93,0.0,12.0
normal,11.61,0.77,0.94,0.0,10.0
normal,20.0,1.84,0.94,0.0,17.0
normal,2.44,1.23,0.72,0.0,6.0
normal,16.97,1.42,0.75,0.0,22.0
normal,2.07,0.72,0.9,0.0,21.0
normal,4.61,1.35,0.87,0.0,10.0
normal,4.3,1.6,0.84,0.0,7.0
normal,11.34,1.26,0.84,0.0,16.0
normal,2.49,1.44,0.86,0.0,12.0
normal,4.69,1.04,1.0,0.0,22.0
normal,6.92,1.64,0.83,0.0,13.0
normal,3.94,0.79,1.0,0.0,13.0
normal,1.16,1.0,0.85,0.0,18.0
normal,5.18,1.19,0.71,0.0,17.0
normal,4.07,1.13,0.94,0.0,11.0
normal,6.8,1.04,0.95,0.0,13.0
normal,4.8,1.0,0.77,0.0,19.0
normal,5.38,1.56,0.73,0.0,20.0
normal,6.21,1.23,0.84,0.0,20.0
normal,0.03,1.42,0.76,0.0,21.0
normal,10.63,1.85,0.8,0.0,14.0
normal,13.58,1.02,0.78,0.0,22.0
normal,2.81,1.09,0.94,0.0,15.0
normal,2.09,1.25,0.96,0.0,13.0
normal,11.98,0.54,0.97,0.0,18.0
normal,1.72,1.25,0.98,0.0,20.0
normal,11.01,0.66,0.98,0.0,20.0
normal,5.25,1.15,0.74,0.0,10.0
normal,1.26,1.48,1.0,0.0,16.0
normal,1.24,2.04,0.93,0.0,15.0
normal,0.61,1.16,0.95,0.0,12.0
normal,3.04,1.13,0.92,0.0,7.0
normal,1.8,0.94,0.95,0.0,10.0
normal,2.06,1.31,0.71,0.0,13.0
normal,1.58,1.02,0.96,0.0,18.0
normal,3.2,1.16,0.99,0.0,22.0
normal,8.42,1.48,0.92,0.0,17.0
normal,4.21,1.3,0.86,0.0,12.0
normal,6.07,0.87,0.76,0.0,20.0
normal,3.8,1.37,0.91,0.0,8.0
normal,8.9,1.09,0.99,0.0,8.0
normal,6.99,0.7,0.9,0.0,11.0
normal,3.81,1.37,0.93,0.0,11.0
normal,1.57,1.05,0.81,0.0,21.0
normal,0.76,1.28,0.79,0.0,7.0
normal,6.91,0.52,0.73,0.0,17.0
anomaly,2.61,1.4,0.85,0.0,5.0
normal,0.88,1.15,0.8,0.0,17.0
normal,5.48,1.6,0.85,0.0,13.0
normal,8.86,0.71,0.8,0.0,19.0
normal,3.51,1.25,0.84,0.0,20.0
normal,9.64,0.89,0.73,0.0,20.0
normal,4.91,1.63,0.76,0.0,21.0
normal,1.99,1.33,0.8,0.0,15.0
normal,1.67,1.45,0.92,0.0,16.0
normal,10.43,1.31,0.87,0.0,7.0
normal,0.15,1.07,0.94,0.0,12.0
normal,3.45,1.77,0.86,0.0,17.0
normal,4.11,1.41,0.99,0.0,22.0
normal,2.28,1.78,0.88,0.0,6.0
normal,0.5,1.34,0.8,0.0,8.0
normal,7.22,1.05,0.84,0.0,16.0
normal,8.66,1.05,0.78,0.0,12.0
normal,8.05,1.79,0.82,0.0,19.0
normal,4.42,1.13,0.96,0.0,16.0
normal,0.47,1.54,0.89,0.0,17.0
normal,2.78,1.38,0.8,0.0,19.0
normal,3.84,1.39,0.76,0.0,7.0
normal,1.07,1.35,0.83,0.0,13.0
anomaly,5.68,1.23,0.98,0.0,3.0
normal,0.71,1.82,0.88,0.0,8.0
normal,6.19,1.49,0.84,0.0,17.0
normal,20.0,1.16,0.9,0.0,22.0
normal,0.53,1.02,0.91,0.0,21.0
normal,1.25,1.28,0.88,0.0,21.0
normal,4.3,0.68,0.79,0.0,11.0
normal,1.94,1.05,0.87,0.0,14.0
normal,5.69,0.99,0.77,0.0,9.0
normal,0.44,1.01,0.81,0.0,8.0
normal,0.99,1.52,0.75,0.0,15.0
normal,2.2,0.9,0.81,0.0,8.0
normal,1.83,1.11,0.8,0.0,13.0
normal,1.08,1.55,0.87,0.0,21.0
normal,3.31,1.15,0.84,0.0,22.0
normal,3.73,0.99,0.82,0.0,19.0
normal,11.27,1.25,0.89,0.0,19.0
normal,17.5,1.12,0.99,0.0,13.0
normal,0.27,1.13,0.96,0.0,21.0
normal,0.03,1.08,0.87,0.0,20.0
normal,1.35,1.37,0.95,0.0,7.0
normal,1.66,1.58,0.9,0.0,21.0
normal,15.18,0.86,1.0,0.0,19.0
normal,4.89,1.22,0.97,0.0,7.0
normal,9.24,0.94,0.78,0.0,19.0
normal,0.92,1.53,0.93,0.0,10.0
normal,5.18,1.43,0.78,0.0,6.0
normal,11.06,1.14,0.81,0.0,11.0
normal,6.18,1.09,0.98,0.0,17.0
normal,12.35,1.33,0.96,0.0,20.0
normal,9.73,1.12,0.77,0.0,17.0
normal,4.37,0.66,0.9,0.0,11.0
normal,0.31,0.81,0.94,0.0,9.0
normal,2.81,0.91,0.88,0.0,13.0
normal,1.18,1.08,0.76,0.0,14.0
normal,0.77,1.06,0.97,0.0,21.0
normal,3.57,0.6,0.86,0.0,12.0
normal,1.0,1.2,0.78,0.0,15.0
normal,0.64,2.11,0.78,0.0,10.0
normal,1.55,1.35,0.96,0.0,6.0
normal,1.62,0.79,0.84,0.0,6.0
normal,7.14,1.07,0.89,0.0,20.0
normal,8.65,1.14,0.8,0.0,14.0
anomaly,91.54,0.06,0.67,0.0,4.0
normal,10.65,1.55,0.88,0.0,10.0
normal,6.9,0.94,0.99,0.0,17.0
normal,3.1,1.25,0.72,0.0,6.0
normal,12.36,1.47,0.78,0.0,9.0
normal,1.61,1.27,0.94,0.0,15.0
normal,1.37,1.48,0.88,0.0,11.0
normal,0.97,1.65,0.88,0.0,21.0
normal,0.53,1.01,1.0,0.0,20.0
normal,8.62,0.81,0.71,0.0,13.0
normal,11.07,1.6,0.98,0.0,12.0
normal,1.65,1.08,0.93,0.0,22.0
anomaly,5.13,1.4,0.82,0.0,4.0
normal,0.88,0.66,0.85,0.0,10.0
normal,10.56,1.07,0.97,0.0,21.0
normal,11.79,0.83,0.87,0.0,8.0
normal,1.77,1.41,0.75,0.0,15.0
normal,1.76,1.28,0.96,0.0,10.0
normal,1.74,1.12,0.74,0.0,16.0
normal,5.24,0.87,0.82,0.0,21.0
normal,13.04,1.36,0.96,0.0,15.0
normal,1.75,0.88,0.9,0.0,11.0
normal,6.08,1.35,0.84,0.0,7.0
normal,4.03,1.57,0.72,0.0,8.0
normal,0.09,0.98,0.92,0.0,7.0
normal,4.76,0.92,0.88,0.0,12.0
normal,1.81,0.74,0.77,0.0,10.0
normal,8.61,0.56,0.98,0.0,19.0
normal,5.55,0.94,0.75,0.0,18.0
normal,1.38,1.62,0.81,0.0,14.0
normal,0.94,1.67,0.89,0.0,20.0
normal,4.1,1.19,0.82,0.0,12.0
normal,1.84,1.16,1.0,0.0,11.0
normal,1.06,0.91,0.78,0.0,19.0
normal,0.35,1.03,0.72,0.0,12.0
normal,1.36,1.09,0.87,0.0,10.0
normal,2.14,1.23,0.72,0.0,10.0
normal,0.88,0.79,0.84,0.0,10.0
normal,0.56,1.46,0.76,0.0,18.0
normal,5.81,0.97,0.72,0.0,19.0
normal,7.31,1.57,0.72,0.0,8.0
normal,0.74,0.89,0.91,0.0,13.0
normal,0.01,1.0,0.91,0.0,13.0
normal,1.9,1.04,1.0,0.0,20.0
normal,1.13,1.47,0.83,0.0,16.0
anomaly,87.47,0.11,0.84,1.0,19.0
normal,13.35,1.35,0.84,0.0,8.0
normal,10.48,1.36,0.94,0.0,6.0
normal,1.79,1.19,0.97,0.0,7.0
anomaly,99.5,0.05,0.87,1.0,18.0
normal,6.87,1.47,0.84,0.0,6.0
normal,0.78,0.92,0.9,0.0,19.0
normal,3.99,1.15,0.73,0.0,10.0
normal,8.59,1.49,0.88,0.0,6.0
normal,2.12,1.11,0.84,0.0,19.0
normal,4.26,1.5,0.93,0.0,17.0
normal,3.21,0.39,0.83,0.0,22.0
normal,4.65,1.07,0.79,0.0,19.0
normal,2.66,1.26,0.9,0.0,22.0
normal,10.45,1.41,0.88,0.0,12.0
normal,1.57,1.15,0.8,0.0,20.0
normal,3.44,1.39,0.74,0.0,6.0
anomaly,73.75,0.14,0.63,0.0,22.0
normal,1.11,1.22,0.86,0.0,6.0
anomaly,46.43,0.14,0.69,0.0,14.0
normal,2.74,1.5,0.88,0.0,18.0
normal,0.72,0.99,0.73,0.0,20.0
normal,1.89,1.71,0.74,0.0,12.0
normal,6.59,0.94,0.9,0.0,17.0
normal,3.68,1.65,0.89,0.0,13.0
normal,5.78,1.0,0.75,0.0,18.0
normal,3.27,1.48,0.94,0.0,16.0
normal,4.09,1.55,0.77,0.0,12.0
normal,14.65,1.52,0.88,0.0,18.0
normal,6.93,0.71,1.0,0.0,14.0
normal,3.55,1.64,0.95,0.0,9.0
anomaly,73.31,0.1,0.97,1.0,15.0
normal,1.65,1.7,0.73,0.0,12.0
anomaly,153.65,0.1,0.97,1.0,4.0
normal,5.6,1.12,0.95,0.0,14.0
normal,0.67,0.69,0.87,0.0,22.0
normal,2.08,1.64,0.87,0.0,22.0
normal,0.41,1.51,0.76,0.0,12.0
normal,3.22,1.57,0.8,0.0,17.0
normal,2.65,1.49,0.79,0.0,14.0
normal,3.11,1.56,0.74,0.0,10.0
normal,4.48,1.09,0.86,0.0,8.0
normal,7.09,0.82,0.9,0.0,19.0
normal,20.0,1.74,0.95,0.0,11.0
normal,11.73,1.04,0.77,0.0,22.0
normal,6.77,0.93,0.93,0.0,18.0
normal,1.75,0.91,0.94,0.0,14.0
normal,11.92,1.01,0.98,0.0,9.0
normal,8.72,0.79,0.9,0.0,14.0
normal,18.81,1.55,1.0,0.0,6.0
normal,4.03,1.15,0.76,0.0,19.0
normal,0.81,0.98,0.73,0.0,22.0
normal,3.5,1.11,0.89,0.0,16.0
normal,8.66,1.64,0.76,0.0,14.0
normal,3.74,1.15,1.0,0.0,20.0
normal,1.62,1.49,0.9,0.0,10.0
normal,4.64,1.19,0.91,0.0,15.0
normal,1.62,1.15,0.94,0.0,17.0
normal,3.3,1.81,0.92,0.0,13.0
normal,7.98,1.22,0.88,0.0,22.0
normal,6.56,1.34,0.94,0.0,22.0
anomaly,8.41,0.89,0.85,0.0,4.0
normal,2.49,1.04,0.91,0.0,9.0
normal,1.56,1.5,0.71,0.0,16.0
normal,8.74,0.93,0.78,0.0,13.0
normal,4.56,1.12,0.88,0.0,22.0
normal,0.92,1.08,0.89,0.0,18.0
normal,13.74,1.29,0.9,0.0,20.0
normal,14.82,1.04,0.83,0.0,19.0
normal,3.38,0.96,0.77,0.0,20.0
normal,0.22,0.94,0.97,0.0,13.0
normal,1.86,1.38,0.92,0.0,18.0
normal,7.5,1.4,0.87,0.0,20.0
normal,7.42,1.71,0.92,0.0,15.0
normal,0.12,1.28,0.83,0.0,15.0
anomaly,35.65,0.25,0.77,0.0,5.0
anomaly,100.06,0.24,1.0,0.0,5.0
normal,1.51,1.05,0.9,0.0,17.0
normal,3.24,1.07,0.86,0.0,21.0
normal,1.57,1.09,0.95,0.0,21.0
normal,13.0,0.82,0.81,0.0,12.0
normal,0.49,1.45,0.82,0.0,16.0
normal,5.53,0.65,0.92,0.0,22.0
normal,3.96,1.5,0.9,0.0,9.0
normal,0.19,0.86,0.99,0.0,14.0
normal,3.41,1.31,0.9,0.0,8.0
normal,3.72,1.16,0.81,0.0,7.0
normal,8.36,1.59,0.8,0.0,17.0
normal,1.98,1.33,0.85,0.0,13.0
normal,1.57,1.21,0.95,0.0,21.0
normal,20.0,0.74,0.85,0.0,9.0
normal,0.75,1.54,0.99,0.0,16.0
normal,6.98,1.26,0.73,0.0,19.0
normal,3.63,1.65,0.99,0.0,13.0
normal,5.13,1.55,0.81,0.0,20.0
normal,0.15,0.95,0.94,0.0,19.0
anomaly,9.94,0.87,0.98,0.0,3.0
anomaly,87.31,0.0,0.95,0.0,8.0
normal,4.71,1.0,0.78,0.0,21.0
normal,1.5,1.46,0.87,0.0,7.0
anomaly,196.31,0.02,0.88,1.0,11.0
normal,0.54,1.02,0.73,0.0,11.0
normal,1.97,1.2,0.99,0.0,19.0
normal,12.02,1.73,0.81,0.0,19.0
normal,6.36,0.84,0.95,0.0,12.0
normal,7.12,1.27,0.7,0.0,20.0
normal,3.7,1.44,0.99,0.0,16.0
normal,1.89,0.54,0.8,0.0,6.0
normal,3.26,1.57,0.84,0.0,9.0
normal,5.43,0.71,0.84,0.0,8.0
normal,12.39,1.23,0.76,0.0,22.0
normal,2.19,1.65,0.92,0.0,12.0
normal,5.65,1.38,0.99,0.0,18.0
normal,1.2,1.43,1.0,0.0,19.0
normal,0.35,1.43,0.83,0.0,9.0
normal,3.23,1.64,0.76,0.0,6.0
normal,4.07,1.54,0.75,0.0,19.0
normal,10.2,1.57,0.81,0.0,9.0
anomaly,133.04,0.05,0.96,1.0,18.0
normal,4.81,1.04,0.88,0.0,16.0
normal,7.77,1.33,0.74,0.0,11.0
normal,1.62,1.19,0.72,0.0,14.0
normal,2.72,1.57,0.93,0.0,18.0
normal,2.1,0.99,0.73,0.0,16.0
normal,3.07,1.0,0.96,0.0,14.0
normal,5.83,1.12,0.87,0.0,19.0
normal,11.42,1.24,0.82,0.0,21.0
normal,5.44,1.15,0.73,0.0,18.0
normal,12.66,1.14,0.91,0.0,6.0
normal,4.2,0.92,0.98,0.0,18.0
normal,16.73,0.94,0.97,0.0,9.0
normal,2.13,0.59,0.79,0.0,9.0
normal,7.18,0.79,0.81,0.0,19.0
normal,4.3,0.97,0.78,0.0,10.0
normal,9.86,1.01,0.96,0.0,10.0
normal,1.06,1.71,0.99,0.0,11.0
normal,5.41,1.2,0.82,0.0,19.0
normal,2.92,1.02,0.9,0.0,18.0
normal,3.8,0.64,0.92,0.0,21.0
normal,9.71,0.77,0.7,0.0,8.0
normal,1.02,0.94,0.86,0.0,10.0
normal,4.51,0.9,0.79,0.0,6.0
normal,0.73,1.69,0.87,0.0,19.0
normal,2.47,1.14,0.85,0.0,19.0
normal,1.5,0.84,0.92,0.0,6.0
normal,0.13,1.2,0.79,0.0,21.0
normal,10.83,1.03,0.84,0.0,15.0
normal,3.26,1.18,0.96,0.0,17.0
normal,4.52,1.29,0.87,0.0,22.0
normal,2.32,1.06,0.9,0.0,10.0
anomaly,47.58,0.07,0.89,0.0,4.0
normal,20.0,0.58,0.95,0.0,14.0
normal,4.35,1.33,0.98,0.0,19.0
normal,4.94,1.19,0.98,0.0,18.0
normal,0.92,1.44,0.75,0.0,16.0
normal,2.7,0.84,0.89,0.0,7.0
normal,6.17,1.26,0.88,0.0,13.0
normal,1.97,1.63,0.74,0.0,18.0
normal,4.11,1.1,0.99,0.0,17.0
normal,1.15,1.22,0.9,0.0,13.0
normal,14.04,0.91,0.82,0.0,10.0
normal,1.3,1.11,0.81,0.0,20.0
normal,8.8,1.06,1.0,0.0,16.0
normal,7.15,0.84,0.78,0.0,7.0
normal,0.92,1.17,0.98,0.0,9.0
normal,8.26,1.45,0.74,0.0,16.0
normal,10.01,1.23,0.96,0.0,16.0
normal,3.42,0.8,0.92,0.0,8.0
normal,0.1,1.17,0.91,0.0,14.0
normal,6.88,0.94,0.88,0.0,20.0
normal,8.26,1.26,0.95,0.0,13.0
normal,20.0,1.26,0.78,0.0,11.0
normal,6.34,1.45,0.81,0.0,16.0
normal,0.83,1.28,0.76,0.0,11.0
normal,2.13,1.09,0.76,0.0,11.0
normal,17.77,1.27,0.87,0.0,22.0
normal,17.55,1.61,0.77,0.0,7.0
normal,7.11,1.16,0.83,0.0,11.0
normal,9.56,1.07,0.77,0.0,9.0
anomaly,262.55,0.09,0.81,1.0,16.0
normal,5.71,0.95,0.91,0.0,7.0
normal,6.03,1.58,0.96,0.0,11.0
normal,0.69,1.42,0.98,0.0,18.0
normal,0.36,1.09,0.76,0.0,16.0
normal,0.38,1.37,0.73,0.0,7.0
normal,6.17,1.18,0.88,0.0,14.0
normal,12.79,1.28,0.76,0.0,19.0
normal,17.83,1.69,0.77,0.0,15.0
normal,2.68,1.49,0.85,0.0,9.0
normal,1.28,0.77,0.85,0.0,9.0
normal,6.23,2.03,0.84,0.0,21.0
normal,5.6,1.14,0.77,0.0,8.0
normal,4.67,0.98,0.92,0.0,12.0
normal,5.83,1.28,0.76,0.0,20.0
normal,3.46,1.2,0.99,0.0,6.0
normal,0.96,0.83,0.71,0.0,22.0
normal,0.06,1.21,0.91,0.0,16.0
normal,5.05,1.1,1.0,0.0,19.0
normal,1.0,1.0,0.79,0.0,20.0
normal,4.86,1.47,0.78,0.0,21.0
normal,1.89,1.37,0.9,0.0,7.0
anomaly,80.2,0.02,0.99,1.0,7.0
normal,0.08,1.68,0.98,0.0,20.0
normal,3.13,1.48,0.72,0.0,11.0
normal,8.31,1.12,0.7,0.0,17.0
normal,3.63,1.0,0.96,0.0,17.0
normal,2.44,0.92,0.77,0.0,11.0
anomaly,292.21,0.19,0.93,1.0,6.0
normal,4.53,1.27,0.84,0.0,11.0
normal,1.17,0.96,0.99,0.0,8.0
normal,6.46,1.28,0.71,0.0,7.0
normal,1.16,1.35,1.0,0.0,14.0
normal,2.7,1.46,0.8,0.0,15.0
normal,7.5,0.97,0.74,0.0,17.0
normal,3.61,1.59,0.82,0.0,10.0
normal,3.35,1.03,0.9,0.0,19.0
normal,2.86,1.39,0.98,0.0,17.0
normal,1.6,1.48,0.79,0.0,20.0
normal,1.83,1.16,0.99,0.0,22.0
normal,5.03,0.71,0.76,0.0,13.0
normal,8.14,1.12,0.78,0.0,17.0
normal,14.99,1.05,0.97,0.0,15.0
normal,2.85,1.11,0.92,0.0,16.0
normal,3.17,1.07,0.81,0.0,22.0
anomaly,136.77,0.11,0.92,1.0,9.0
normal,2.29,1.23,0.72,0.0,15.0
normal,6.22,1.6,0.96,0.0,20.0
normal,3.22,1.37,0.97,0.0,18.0
normal,8.17,1.48,0.97,0.0,17.0
normal,9.24,1.36,0.91,0.0,8.0
normal,3.47,1.42,0.73,0.0,17.0
normal,6.96,1.21,0.76,0.0,13.0
normal,0.95,1.05,0.75,0.0,22.0
normal,7.57,1.4,0.75,0.0,16.0
normal,1.03,0.54,0.75,0.0,12.0
normal,0.39,1.16,0.95,0.0,10.0
normal,3.15,1.23,0.92,0.0,18.0
normal,0.27,1.41,0.94,0.0,8.0
normal,0.1,1.53,0.88,0.0,18.0
normal,0.24,1.99,0.71,0.0,17.0
normal,1.37,1.67,0.78,0.0,17.0
normal,2.55,1.18,0.87,0.0,13.0
normal,3.46,1.1,0.96,0.0,16.0
normal,2.72,1.08,0.76,0.0,6.0
anomaly,9.38,1.33,0.63,0.0,3.0
normal,3.04,0.93,0.96,0.0,16.0
normal,20.0,1.8,0.94,0.0,12.0
normal,1.31,1.64,0.73,0.0,12.0
normal,1.03,1.71,0.81,0.0,19.0
normal,3.53,1.67,0.92,0.0,17.0
normal,1.85,0.58,0.73,0.0,8.0
normal,0.48,0.79,0.9,0.0,18.0
normal,4.29,1.17,0.81,0.0,17.0
normal,8.86,1.37,0.73,0.0,18.0
normal,0.52,1.08,0.86,0.0,6.0
normal,14.99,1.04,0.72,0.0,21.0
normal,0.57,1.69,0.92,0.0,12.0
anomaly,83.21,0.03,0.68,0.0,1.0
normal,15.57,1.14,0.78,0.0,7.0
normal,0.32,1.02,0.99,0.0,7.0
normal,12.15,1.62,0.71,0.0,11.0
normal,1.62,1.16,0.89,0.0,15.0
normal,2.93,1.42,0.75,0.0,16.0
normal,0.75,1.07,0.82,0.0,7.0
normal,3.61,1.73,0.89,0.0,14.0
normal,1.38,1.18,0.91,0.0,11.0
normal,4.98,1.05,0.88,0.0,19.0
normal,2.61,1.27,0.85,0.0,14.0
normal,7.1,1.08,0.71,0.0,21.0
normal,2.95,1.62,0.85,0.0,22.0
normal,1.02,0.87,0.8,0.0,14.0
normal,1.68,1.14,0.96,0.0,20.0
normal,0.71,1.13,0.72,0.0,14.0
normal,0.43,0.95,0.87,0.0,19.0
normal,8.61,1.04,0.79,0.0,7.0
normal,1.11,1.24,0.88,0.0,21.0
normal,6.08,0.9,0.84,0.0,15.0
normal,3.63,1.41,0.92,0.0,22.0
normal,2.17,1.14,0.83,0.0,6.0
normal,0.65,0.92,0.79,0.0,19.0
normal,3.17,1.44,0.9,0.0,19.0
normal,5.01,1.57,0.98,0.0,14.0
normal,20.0,1.09,0.8,0.0,9.0
normal,0.96,1.42,0.86,0.0,13.0
normal,2.5,0.87,0.71,0.0,21.0
normal,5.62,1.21,0.78,0.0,8.0
anomaly,57.89,0.1,0.92,1.0,2.0
normal,11.88,1.07,0.89,0.0,15.0
normal,4.95,1.19,0.97,0.0,16.0
normal,1.55,1.02,0.94,0.0,21.0
anomaly,155.74,0.12,0.99,1.0,13.0
normal,13.08,0.9,0.97,0.0,15.0
normal,4.75,0.71,0.86,0.0,16.0
normal,0.27,0.81,0.84,0.0,12.0
normal,0.17,1.33,0.81,0.0,7.0
normal,4.28,1.14,0.78,0.0,18.0
normal,4.93,1.24,0.92,0.0,10.0
normal,2.43,0.46,0.84,0.0,7.0
normal,3.29,1.53,0.82,0.0,17.0
normal,8.3,1.2,0.84,0.0,16.0
normal,8.52,0.66,0.95,0.0,8.0
normal,2.48,0.68,0.8,0.0,21.0
normal,8.43,1.34,0.96,0.0,13.0
normal,3.09,0.75,0.87,0.0,12.0
normal,20.0,1.23,0.89,0.0,12.0
normal,17.34,0.69,0.87,0.0,15.0
normal,0.28,1.57,0.97,0.0,21.0
normal,1.03,0.46,0.72,0.0,9.0
normal,8.4,1.07,0.71,0.0,13.0
normal,4.95,1.25,0.94,0.0,14.0
normal,9.73,0.91,0.89,0.0,11.0
normal,3.23,0.76,0.88,0.0,21.0
normal,0.85,1.19,0.72,0.0,17.0
normal,2.31,1.64,0.88,0.0,22.0
normal,1.77,1.13,0.86,0.0,8.0
normal,3.69,0.97,0.9,0.0,21.0
normal,4.23,1.33,0.91,0.0,15.0
normal,13.31,0.91,0.73,0.0,8.0
normal,7.96,1.43,0.85,0.0,20.0
normal,15.43,0.84,0.84,0.0,21.0
normal,1.97,1.1,0.85,0.0,22.0
normal,2.19,1.27,0.85,0.0,9.0
normal,5.66,0.99,0.86,0.0,18.0
normal,12.9,1.21,0.87,0.0,9.0
normal,1.21,1.1,0.82,0.0,19.0
normal,4.21,1.64,0.84,0.0,8.0
normal,1.86,0.84,0.79,0.0,22.0
normal,9.02,1.19,0.93,0.0,9.0
normal,1.59,1.14,0.86,0.0,11.0
normal,0.9,1.89,0.73,0.0,6.0
normal,4.43,0.99,0.75,0.0,13.0
normal,0.81,1.29,0.92,0.0,7.0
normal,1.9,1.5,0.91,0.0,13.0
normal,3.12,1.23,0.79,0.0,8.0
normal,0.59,1.35,0.92,0.0,20.0
normal,1.51,0.97,0.74,0.0,12.0
